,Birthdate,College Name,Draft Number Picked,Draft Round,Draft Team,Draft Year,Player Name
4197,1983-01-13,Gonzaga University,37th overall,2nd round,Los Angeles Lakers,2005,Ronny Turiaf
4198,1976-06-07,,18th overall,1st round,Houston Rockets,1998,Mirsad Turkcan
4199,1979-03-19,,16th overall,1st round,Sacramento Kings,2000,Hedo Turkoglu
4200,1964-12-13,University of Memphis,69th overall,3rd round,Los Angeles Lakers,1986,Andre Turner
4201,1944-02-18,University of Akron,78th overall,9th round,New York Knicks,1966,Bill Turner
4202,1959-06-10,University of Mississippi,43rd overall,2nd round,Dallas Mavericks,1981,Elston Turner
4203,1988-10-27,Ohio State University,2nd overall,1st round,Philadelphia 76ers,2010,Evan Turner
4204,,Texas Christian University,28th overall,3rd round,Boston Celtics,1966,Gary Turner
4205,1966-08-18,"California State University, Fullerton",,,,,Henry Turner
4206,1938-03-29,University of Nebraska,45th overall,6th round,Syracuse Nationals,1960,Herschell Turner
4207,1930-06-29,Western Kentucky University,8th overall,1st round,New York Knicks,1954,Jack Turner
4208,1939-06-05,University of Louisville,18th overall,2nd round,Chicago Packers,1961,Jack Turner
4209,1962-04-09,Vanderbilt University,17th overall,1st round,New Jersey Nets,1984,Jeff Turner
4210,1967-11-30,"Georgetown University, Phillips University",20th overall,1st round,Houston Rockets,1991,John Turner
4211,1996-03-24,University of Texas at Austin,11th overall,1st round,Indiana Pacers,2015,Myles Turner
4212,1976-03-22,University of Kentucky,,,,,Wayne Turner
4213,1960-12-28,University of Kentucky,6th overall,1st round,Washington Bullets,1984,Melvin Turpin
4214,1950-09-20,Old Dominion University,26th overall,2nd round,Portland Trail Blazers,1972,Dave Twardzik
4215,1934-05-11,University of Cincinnati,8th overall,2nd round,Rochester Royals,1955,Jack Twyman
4216,1971-04-30,"DePaul University, University of Texas at Austin",20th overall,1st round,Philadelphia 76ers,1994,BJ Tyler
4217,1991-06-21,,39th overall,2nd round,Charlotte Bobcats,2011,Jeremy Tyler
4218,1956-10-30,University of Detroit Mercy,23rd overall,2nd round,Detroit Pistons,1978,Terry Tyler
4219,1935-08-16,University of Louisville,2nd overall,1st round,Detroit Pistons,1957,Charlie Tyra
4220,1986-11-26,Siena College,,,,,Edwin Ubiles
4221,1987-05-20,"University of Michigan, Baylor University",6th overall,1st round,Golden State Warriors,2010,Ekpe Udoh
4222,1977-08-09,"University of San Francisco, Portland State University",,,,,Ime Udoka
4223,1982-07-05,,28th overall,1st round,San Antonio Spurs,2004,Beno Udrih
4224,1984-05-12,,41st overall,2nd round,Toronto Raptors,2005,Roko Ukic
4225,1996-01-05,University of Kentucky,34th overall,2nd round,Phoenix Suns,2016,Tyler Ulis
4226,1946-03-14,University of Louisville,2nd overall,1st round,Baltimore Bullets,1968,Wes Unseld
4227,1929-09-30,Long Island University,,,,,Hal Uplinger
4228,1963-01-24,University of Utah,,,,,Kelvin Upshaw
4229,1993-05-19,University of Iowa,,,,,Jarrod Uthoff
4230,1988-03-19,University of Tulsa,,,,,Ben Uzoh
4231,1944-08-15,Duke University,33rd overall,4th round,San Francisco Warriors,1966,Stephen Vacendak
4232,1992-05-06,,5th overall,1st round,Toronto Raptors,2011,Jonas Valanciunas
4233,1959-02-03,University of Kansas,16th overall,1st round,Portland Trail Blazers,1981,Darnell Valentine
4234,1993-11-16,Michigan State University,14th overall,1st round,Chicago Bulls,2016,Denzel Valentine
4235,1957-11-27,Old Dominion University,51st overall,3rd round,Denver Nuggets,1980,Ronnie Valentine
4236,1948-10-03,"University of California, Los Angeles",14th overall,1st round,Atlanta Hawks,1970,John Vallely
4237,1943-02-22,Indiana University,10th overall,2nd round,New York Knicks,1965,Dick Van Arsdale
4238,1943-02-22,Indiana University,11th overall,2nd round,Detroit Pistons,1965,Tom Van Arsdale
4239,1922-10-28,New York University,,,,,Butch van Breda Kolff
4240,1951-12-16,Vanderbilt University,20th overall,2nd round,Portland Trail Blazers,1974,Jan van Breda Kolff
4241,1971-11-27,"Trinity Valley Community College, University of Cincinnati",37th overall,2nd round,Los Angeles Lakers,1993,Nick Van Exel
4242,1975-10-23,University of Utah,2nd overall,1st round,Philadelphia 76ers,1997,Keith Van Horn
4243,1947-04-01,Saint Francis University,34th overall,3rd round,Chicago Bulls,1969,Norm Van Lier
4244,1952-06-01,Azusa Pacific University,120th overall,7th round,Los Angeles Lakers,1974,Dennis Van Zant
4245,1923-02-25,University of Illinois at Urbana-Champaign,,1947 BAA Draf,Chicago Stags,,Gene Vance
4246,1971-04-03,University of Wisconsin-Green Bay,,,,,Logan Vander Velden
4247,1999-04-03,University of Kentucky,41st overall,2nd round,Orlando Magic,2018,Jarred Vanderbilt
4248,1928-09-12,Colgate University,1949 BAA Draft,3rd roun,New York Knicks,,Ernie Vandeweghe
4249,1958-08-01,"University of California, Los Angeles",11th overall,1st round,Dallas Mavericks,1980,Kiki Vandeweghe
4250,1963-04-13,Santa Clara University,32nd overall,2nd round,Phoenix Suns,1985,Nick Vanos
4251,1973-03-31,St. Bonaventure University,,,,,David Vanterpool
4252,1994-02-25,Wichita State University,,,,,Fred VanVleet
4253,1979-05-06,,,,,,Ratko Varda
4254,1982-09-28,,30th overall,2nd round,Orlando Magic,2004,Anderson Varejao
4255,1988-03-01,Mississippi State University,41st overall,2nd round,Miami Heat,2010,Jarvis Varnado
4256,1987-01-16,University of Maryland,28th overall,1st round,Memphis Grizzlies,2010,Greivis Vasquez
4257,1940-02-19,Southern Illinois University,26th overall,4th round,St. Louis Hawks,1962,Chico Vaughn
4258,1952-06-04,Oral Roberts University,63rd overall,4th round,New York Knicks,1975,David Vaughn
4259,1973-03-23,University of Memphis,25th overall,1st round,Orlando Magic,1995,David Vaughn
4260,1975-02-11,University of Kansas,27th overall,1st round,Utah Jazz,1997,Jacque Vaughn
4261,1996-08-16,"University of Nevada, Las Vegas",17th overall,1st round,Milwaukee Bucks,2015,Rashad Vaughn
4262,1918-05-15,Western Kentucky University,,,,,Virgil Vaughn
4263,1968-02-27,University of Michigan,13th overall,1st round,Los Angeles Clippers,1990,Loy Vaught
4264,1945-09-07,Duke University,25th overall,3rd round,St. Louis Hawks,1967,Bob Verga
4265,1959-02-15,"California State University, Fresno",85th overall,4th round,Portland Trail Blazers,1981,Pete Verhoeven
4266,1990-04-24,,6th overall,1st round,Washington Wizards,2011,Jan Vesely
4267,1967-05-22,,,,,,Gundars Vetra
4268,1966-11-15,,,,,,Joao Vianna
4269,1984-08-24,University of Connecticut,7th overall,1st round,Toronto Raptors,2005,Charlie Villanueva
4270,1959-06-10,Michigan State University,24th overall,2nd round,Dallas Mavericks,1981,Jay Vincent
4271,1963-05-18,Michigan State University,20th overall,1st round,Boston Celtics,1985,Sam Vincent
4272,1984-05-31,,43rd overall,2nd round,New Orleans/Oklahoma City Hornets,2006,Marcus Vinicius
4273,1971-01-28,Georgia Institute of Technology,,,,,Fred Vinson
4274,1947-11-25,Murray State University,142nd overall,9th round,Seattle SuperSonics,1970,Claude Virden
4275,1965-11-24,University of Notre Dame,,,,,Gary Voce
4276,1921-06-21,University of Wyoming,,,,,Floyd Volker
4277,1964-03-28,,134th overall,6th round,Atlanta Hawks,1986,Alexander Volkov
4278,1922-06-19,Pennsylvania State University,,,,,Whitey Von Nieda
4279,1995-08-24,Indiana University,9th overall,1st round,Charlotte Hornets,2014,Noah Vonleh
4280,1977-11-01,University of Connecticut,33rd overall,2nd round,Chicago Bulls,2000,Jake Voskuhl
4281,1958-10-29,University of Utah,5th overall,1st round,Seattle SuperSonics,1981,Danny Vranes
4282,1983-01-30,,39th overall,2nd round,New York Knicks,2003,Slavko Vranes
4283,1964-01-22,,,,,,Stojko Vrankovic
4284,1955-12-25,"University of California, Los Angeles, University of Nevada, Las Vegas",87th overall,4th round,Philadelphia 76ers,1978,Brett Vroman
4285,1981-06-06,Iowa State University,31st overall,2nd round,Chicago Bulls,2004,Jackson Vroman
4286,1990-10-24,University of Southern California,16th overall,1st round,Philadelphia 76ers,2011,Nikola Vucevic
4287,1984-03-08,,27th overall,1st round,Los Angeles Lakers,2004,Sasha Vujacic
4288,1982-01-17,Marquette University,5th overall,1st round,Miami Heat,2003,Dwyane Wade
4289,1965-10-15,"University of Oklahoma, University of Nevada, Las Vegas",,,,,Mark Wade
4290,1985-07-21,Florida State University,39th overall,2nd round,Los Angeles Lakers,2005,Von Wafer
4291,1920-01-20,Saint Mary's University of Minnesota,,,,,Clint Wager
4292,1983-02-04,University of Memphis,6th overall,1st round,Cleveland Cavaliers,2002,Dajuan Wagner
4293,1922-08-01,University of Texas at Austin,,,,,Danny Wagner
4294,1963-02-20,University of Louisville,35th overall,2nd round,Dallas Mavericks,1986,Milt Wagner
4295,1997-04-26,University of Michigan,25th overall,1st round,Los Angeles Lakers,2018,Moritz Wagner
4296,1945-12-18,Georgia Institute of Technology,,,,,Phillip Wagner
4297,1991-12-10,Syracuse University,4th overall,1st round,Cleveland Cavaliers,2012,Dion Waiters
4298,1961-01-08,Ohio State University,39th overall,2nd round,Portland Trail Blazers,1983,Granville Waiters
4299,1955-01-11,Loyola University of Chicago,107th overall,5th round,Phoenix Suns,1978,Andre Wakefield
4300,1948-07-29,University of Florida,2nd overall,1st round,Phoenix Suns,1969,Neal Walk
4301,1955-03-25,Niagara University,111th overall,7th round,New Orleans Jazz,1976,Andy Walker
4302,1976-08-12,University of Kentucky,6th overall,1st round,Boston Celtics,1996,Antoine Walker
4303,1921-03-15,Brigham Young University,,1948 BAA Draf,Providence Steamrollers,,Brady Walker
4304,1940-02-22,Bradley University,12th overall,2nd round,Syracuse Nationals,1962,Chet Walker
4305,1961-03-09,University of Arkansas,12th overall,1st round,New York Knicks,1983,Darrell Walker
4306,1951-05-21,State University of West Georgia,38th overall,3rd round,Cleveland Cavaliers,1974,Foots Walker
4307,1987-10-09,Kansas State University,47th overall,2nd round,Washington Wizards,2008,Henry Walker
4308,1937-04-17,Michigan State University,30th overall,4th round,St. Louis Hawks,1960,Horace Walker
4309,1944-04-08,Providence College,1st overall,1st round,Detroit Pistons,1967,Jimmy Walker
4310,1990-05-08,University of Connecticut,9th overall,1st round,Charlotte Bobcats,2011,Kemba Walker
4311,1964-08-18,University of Kentucky,5th overall,1st round,New York Knicks,1986,Kenny Walker
4312,1998-12-14,University of Miami,18th overall,1st round,San Antonio Spurs,2018,Lonnie Walker
4313,1956-03-20,Millersville University of Pennsylvania,117th overall,7th round,Philadelphia 76ers,1976,Phil Walker
4314,1976-02-25,University of Louisville,9th overall,1st round,Dallas Mavericks,1996,Samaki Walker
4315,1954-07-18,University of Virginia,5th overall,1st round,Portland Trail Blazers,1976,Wally Walker
4316,1990-09-06,University of Kentucky,1st overall,1st round,Washington Wizards,2010,John Wall
4317,1974-09-10,Virginia Union University,,,,,Ben Wallace
4318,1982-07-23,University of Alabama,25th overall,1st round,Sacramento Kings,2001,Gerald Wallace
4319,1974-02-09,Syracuse University,18th overall,1st round,New York Knicks,1996,John Wallace
4320,1974-09-17,University of North Carolina,4th overall,1st round,Washington Bullets,1995,Rasheed Wallace
4321,1918-07-12,University of Scranton,,,,,Red Wallace
4322,1994-06-10,University of California,60th overall,2nd round,Utah Jazz,2016,Tyrone Wallace
4323,1945-10-05,Tennessee State University,131st overall,10th round,Atlanta Hawks,1968,Dwight Waller
4324,1964-11-20,Virginia Union University,48th overall,3rd round,New Jersey Nets,1987,Jamie Waller
4325,1994-03-22,Baylor University,12th overall,1st round,Utah Jazz,2016,Taurean Prince
4326,1930-08-29,Stanford University,,1952 NBA Draf,Baltimore Bullets,,Jim Walsh
4327,1982-12-02,University of Florida,,,,,Matt Walsh
4328,1970-03-12,"Northwestern University, University of Kansas",16th overall,1st round,New Jersey Nets,1993,Rex Walters
4329,1927-03-23,University of Tennessee,,1949 BAA Draf,Minneapolis Lakers,,Paul Walther
4330,1930-08-25,,,,,,Isaac Walthour
4331,1952-11-05,"University of California, Los Angeles",1st overall,1st round,Portland Trail Blazers,1974,Bill Walton
4332,1995-04-03,University of Michigan,,,,,Derrick Walton
4333,1953-11-23,Marquette University,40th overall,3rd round,Milwaukee Bucks,1976,Lloyd Walton
4334,1980-03-28,University of Arizona,32nd overall,2nd round,Los Angeles Lakers,2003,Luke Walton
4335,1989-07-25,University of Pittsburgh,,,,,Brad Wanamaker
4336,1921-06-04,Seton Hall University,10th overall,1st round,Rochester Royals,1948,Bobby Wanzer
4337,1952-09-07,Georgia Southern University,145th overall,9th round,Philadelphia 76ers,1974,Perry Warbington
4338,1970-10-12,Florida State University,26th overall,1st round,New York Knicks,1994,Charlie Ward
4339,1941-09-06,Boston College,5th overall,1st round,St. Louis Hawks,1963,Gerry Ward
4340,1952-01-30,Jackson State University,99th overall,6th round,Cleveland Cavaliers,1975,Henry Ward
4341,1990-01-17,"California State University, Long Beach",,,,,Casper Ware
4342,1944-05-02,Oklahoma City University,26th overall,3rd round,Cincinnati Royals,1966,Jim Ware
4343,1936-09-04,Tennessee State University,27th overall,4th round,Los Angeles Lakers,1960,Ben Warley
4344,1941-03-20,Pepperdine University,,,,,Bob Warlick
4345,1948-08-12,Jackson State University,24th overall,2nd round,Buffalo Braves,1970,Cornell Warner
4346,1994-01-31,Stony Brook University,,,,,Jameel Warney
4347,1946-07-17,Vanderbilt University,47th overall,4th round,Atlanta Hawks,1968,Bob Warren
4348,1947-07-07,St. John's University,11th overall,1st round,New York Knicks,1969,John Warren
4349,1993-09-05,North Carolina State University,14th overall,1st round,Phoenix Suns,2014,TJ Warren
4350,1989-10-22,University of Oklahoma,54th overall,2nd round,Los Angeles Clippers,2010,Willie Warren
4351,1959-07-22,Saint Joseph's University,25th overall,2nd round,Washington Bullets,1982,Bryan Warrick
4352,1982-07-08,Syracuse University,19th overall,1st round,Memphis Grizzlies,2005,Hakim Warrick
4353,1965-05-13,North Carolina State University,3rd overall,1st round,Golden State Warriors,1986,Chris Washburn
4354,1991-12-18,,,,,,Julian Washburn
4355,1947-07-11,Eastern Kentucky University,,,,,Bobby Washington
4356,1985-12-06,University of Memphis,,,,,Darius Washington
4357,1952-04-22,University of North Carolina,80th overall,5th round,New York Knicks,1975,Donald Washington
4358,1964-08-31,Middle Tennessee State University,36th overall,2nd round,Washington Bullets,1987,Duane Washington
4359,1974-03-23,University of Alabama,46th overall,2nd round,Orlando Magic,1997,Eric Washington
4360,1943-07-01,Villanova University,6th overall,1st round,St. Louis Hawks,1965,Jim Washington
4361,1951-09-17,American University,5th overall,1st round,Los Angeles Lakers,1973,Kermit Washington
4362,1964-01-06,Syracuse University,13th overall,1st round,New Jersey Nets,1986,Pearl Washington
4363,1955-07-15,"University of California, Los Angeles",3rd overall,1st round,Kansas City Kings,1976,Richard Washington
4364,1952-01-23,University of San Diego,66th overall,4th round,Washington Bullets,1974,Stan Washington
4365,1944-04-21,Cheyney University of Pennsylvania,50th overall,5th round,Cincinnati Royals,1967,Trooper Washington
4366,1955-08-03,Old Dominion University,25th overall,2nd round,Philadelphia 76ers,1977,Wilson Washington
4367,1994-10-13,George Washington University,,,,,Yuta Watanabe
4368,1984-11-08,Syracuse University,,,,,Darryl Watkins
4369,1930-03-22,University of Kentucky,,1952 NBA Draf,Milwaukee Hawks,,Bobby Watson
4370,1984-04-17,University of Tennessee,,,,,CJ Watson
4371,1979-06-12,"University of California, Los Angeles",40th overall,2nd round,Seattle SuperSonics,2001,Earl Watson
4372,1972-02-23,University of South Carolina,47th overall,2nd round,Utah Jazz,1994,Jamie Watson
4373,1943-05-21,Wake Forest University,17th overall,2nd round,Boston Celtics,1965,Ron Watts
4374,1948-03-14,Florida Agricultural and Mechanical University,,,,,Samuel Watts
4375,1951-07-22,Xavier University of Louisiana,,,,,Slick Watts
4376,1991-05-02,Villanova University,,,,,Maalik Wayns
4377,1990-09-21,"University of North Carolina, University of California, Los Angeles",,,,,David Wear
4378,1990-09-21,"University of North Carolina, University of California, Los Angeles",,,,,Travis Wear
4379,1970-09-08,University of Southern Mississippi,9th overall,1st round,Philadelphia 76ers,1992,Clarence Weatherspoon
4380,1950-07-20,University of Illinois at Urbana-Champaign,13th overall,1st round,Capital Bullets,1973,Nick Weatherspoon
4381,1986-02-18,Washington State University,38th overall,2nd round,Charlotte Bobcats,2008,Kyle Weaver
4382,1993-08-19,Boise State University,,,,,James Webb III
4383,1948-07-06,Kansas State University,,,,,Jeff Webb
4384,1970-05-09,University of Alabama,,,,,Marcus Webb
4385,1963-07-13,"Midland College, North Carolina State University",87th overall,4th round,Detroit Pistons,1985,Spud Webb
4386,1973-03-01,University of Michigan,1st overall,1st round,Orlando Magic,1993,Chris Webber
